"","establishment_name","type","naics1","seq_no","industry","description"
"190","Batesville Poultry Equipment, Inc.","Fat/Cat","236220",210,"Commercial and Institutional Building Construction","This industry comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of commercial and institutional buildings and related structures, such as stadiums, grain elevators, and indoor swimming facilities.  This industry includes establishments responsible for the on-site assembly of modular or prefabricated commercial and institutional buildings.  Included in this industry are commercial and institutional building general contractors, commercial and institutional building for-sale builders, commercial and institutional building design-build firms, and commercial and institutional building project construction management firms.

Illustrative Examples:

Airport building construction
Office building construction
Arena construction
Parking garage construction
Barrack construction
Prison construction
Farm building construction
Radio and television broadcast studio construction
Fire station construction
Grain elevator or bin construction
Data center construction
Religious building (e.g., church, synagogue, mosque, temple) construction
Restaurant construction
Hospital construction
School building construction
Hotel construction
Shopping mall construction
Indoor swimming facility construction
Warehouse construction (e.g., commercial, industrial, manufacturing, private)


Cross-References. Establishments primarily engaged in--"
"191","Rock Solid Designs Ii, Llc","Fat/Cat","238330",259,"Flooring Contractors","This industry comprises establishments primarily engaged in the installation of resilient floor tile, carpeting, linoleum, and hardwood flooring.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Carpet, installation only
Resilient floor tile or sheet (e.g., linoleum, rubber, vinyl), installation only
Vinyl flooring contractors
Resurfacing hardwood flooring
Hardwood flooring, installation only
Floor laying, scraping, finishing, and refinishing


Cross-References. Establishments primarily engaged in--"
"192","Hot Springs County Tie And Lumber Company Inc","Fat/Cat","113310",107,"Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"193","Gm Lawrence And Company","Fat/Cat","115111",120,"Cotton Ginning","This U.S. industry comprises establishments primarily engaged in ginning cotton."
"194","Danny Creech And Sons Mowing And Spraying Company","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"195","Payne Steel Erectors Inc.","Fat/Cat","238120",233,"Structural Steel and Precast Concrete Contractors","This industry comprises establishments primarily engaged in (1) erecting and assembling structural parts made from steel or precast concrete (e.g., steel beams, structural steel components, and similar products of precast concrete) and/or (2) assembling and installing other steel construction products (e.g., steel rods, bars, rebar, mesh, and cages) to reinforce poured-in-place concrete.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Concrete product (e.g., structural precast, structural prestressed) installation
Rebar contractors
Erecting structural steel
Reinforcing steel contractors
Placing and tying reinforcing rod at a construction site
Structural steel contractors
Precast concrete panel, slab, or form installation


Cross-References. Establishments primarily engaged in--"
"196","Georgia-Pacific Consumer Products, Llc","Fat/Cat","322110",438,"Pulp Mills","This industry comprises establishments primarily engaged in manufacturing pulp without manufacturing paper or paperboard.  The pulp is made by separating the cellulose fibers from the other impurities in wood or other materials, such as used or recycled rags, linters, scrap paper, and straw.

Cross-References. Establishments primarily engaged in--"
"197","Crossland Construction Company, Inc.","Fat/Cat","236220",210,"Commercial and Institutional Building Construction","This industry comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of commercial and institutional buildings and related structures, such as stadiums, grain elevators, and indoor swimming facilities.  This industry includes establishments responsible for the on-site assembly of modular or prefabricated commercial and institutional buildings.  Included in this industry are commercial and institutional building general contractors, commercial and institutional building for-sale builders, commercial and institutional building design-build firms, and commercial and institutional building project construction management firms.

Illustrative Examples:

Airport building construction
Office building construction
Arena construction
Parking garage construction
Barrack construction
Prison construction
Farm building construction
Radio and television broadcast studio construction
Fire station construction
Grain elevator or bin construction
Data center construction
Religious building (e.g., church, synagogue, mosque, temple) construction
Restaurant construction
Hospital construction
School building construction
Hotel construction
Shopping mall construction
Indoor swimming facility construction
Warehouse construction (e.g., commercial, industrial, manufacturing, private)


Cross-References. Establishments primarily engaged in--"
"198","Four S & J Incorporated","Fat/Cat","423820",966,"Farm and Garden Machinery and Equipment Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of specialized machinery, equipment, and related parts generally used in agricultural, farm, and lawn and garden activities.

Illustrative Examples:

Animal feeders merchant wholesalers
Lawnmowers merchant wholesalers
Milking machinery and equipment merchant wholesalers
Harvesting machinery and equipment merchant wholesalers
Planting machinery and equipment merchant wholesalers

"
"199","Wayne French","Fat/Cat","339999",900,"All Other Miscellaneous Manufacturing","This U.S. industry comprises establishments primarily engaged in miscellaneous manufacturing (except medical equipment and supplies, jewelry and silverware, sporting and athletic goods, dolls, toys, games, office supplies, signs, gaskets, packing, and sealing devices, musical instruments, fasteners, buttons, needles, pins, brooms, brushes, mops, and burial caskets).

Illustrative Examples:

Artificial Christmas trees manufacturing
Candles manufacturing
Christmas tree ornaments (except glass and electric) manufacturing
Cigarette lighters (except precious metal) manufacturing
Coin- or card-operated amusement machines (except jukebox) manufacturing
Electronic cigarettes manufacturing
Hairpieces (e.g., wigs, toupees, wiglets) manufacturing
Portable fire extinguishers manufacturing
Potpourri manufacturing
Tobacco pipes manufacturing
Umbrellas manufacturing


Cross-References. Establishments primarily engaged in--"
"200","Peterson Concrete Tank Co","Fat/Cat","327390",578,"Other Concrete Product Manufacturing","This industry comprises establishments primarily engaged in manufacturing concrete products (except block, brick, and pipe).

Cross-References. Establishments primarily engaged in--"
"201","Marshall Construction Inc","Fat/Cat","236115",202,"New Single-Family Housing Construction (except For-Sale Builders)","This U.S. industry comprises general contractor establishments primarily responsible for the entire construction of new single-family housing, such as single-family detached houses and town houses or row houses where each housing unit (1) is separated from its neighbors by a ground-to-roof wall and (2) has no housing units constructed above or below.  This industry includes general contractors responsible for the on-site assembly of modular and prefabricated houses.  Single-family housing design-build firms and single-family construction management firms acting as general contractors are included in this industry.

Cross-References. Establishments primarily engaged in--"
"202","Mobley Contractors, Inc.","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
"203","Tradesmen International","Fat/Cat","561311",1656,"Employment Placement Agencies","This U.S. industry comprises establishments primarily engaged in listing employment vacancies and in recruiting, referring, or placing applicants for employment.  The individuals referred or placed are not employees of the employment agencies.

Illustrative Examples:

Babysitting bureaus (i.e., registries)
Employment registries
Model registries
Casting agencies or bureaus (i.e., motion picture, theatrical, video)
Employment agencies


Cross-References. Establishments primarily engaged in--"
"204","Key Energy Services, Llc","Fat/Cat","213112",169,"Support Activities for Oil and Gas Operations","This U.S. industry comprises establishments primarily engaged in performing support activities, on a contract or fee basis, for oil and gas operations (except geophysical surveying and mapping, site preparation, construction, and transportation activities).  Services included are exploration; excavating slush pits and cellars, well surveying; running, cutting, and pulling casings, tubes, and rods; cementing wells, shooting wells; perforating well casings; acidizing and chemically treating wells; and cleaning out, bailing, and swabbing wells.

Cross-References. Establishments primarily engaged in--"
"205","The Professional Power Washing Service Inc.","Fat/Cat","811192",1969,"Car Washes","This U.S. industry comprises establishments primarily engaged in cleaning, washing, and/or waxing automotive vehicles, such as passenger cars, trucks, and vans, and trailers.

Illustrative Examples:

Automotive detail shops
Mobile car and truck washes
Car washes
Self-service car washes
"
"206","Dawson Employment Service, Inc.","Fat/Cat","561311",1656,"Employment Placement Agencies","This U.S. industry comprises establishments primarily engaged in listing employment vacancies and in recruiting, referring, or placing applicants for employment.  The individuals referred or placed are not employees of the employment agencies.

Illustrative Examples:

Babysitting bureaus (i.e., registries)
Employment registries
Model registries
Casting agencies or bureaus (i.e., motion picture, theatrical, video)
Employment agencies


Cross-References. Establishments primarily engaged in--"
"207","Temp Plus","Fat/Cat","561320",1659,"Temporary Help Services","This industry comprises establishments primarily engaged in supplying workers to clients' businesses for limited periods of time to supplement the working force of the client.  The individuals provided are employees of the temporary help services establishment.  However, these establishments do not provide direct supervision of their employees at the clients' work sites.

Illustrative Examples:

Help supply services
Model supply services
Labor (except farm) contractors (i.e., personnel suppliers)
Temporary employment or temporary staffing services
Manpower pools


Cross-References. Establishments primarily engaged in--"
"208","England Liquid Fertilizer, Inc.","Fat/Cat","115112",121,"Soil Preparation, Planting, and Cultivating","This U.S. industry comprises establishments primarily engaged in performing a soil preparation activity or crop production service, such as plowing, fertilizing, seed bed preparation, planting, cultivating, and crop protecting services.

Cross-References. Establishments primarily engaged in--"
"209","Anchor Packaging, Inc.","Fat/Cat","326150",542,"Urethane and Other Foam Product (except Polystyrene) Manufacturing","This industry comprises establishments primarily engaged in manufacturing plastics foam products (except polystyrene).

Cross-References."
"210","The Hughes Staffing Agency","Fat/Cat","561311",1656,"Employment Placement Agencies","This U.S. industry comprises establishments primarily engaged in listing employment vacancies and in recruiting, referring, or placing applicants for employment.  The individuals referred or placed are not employees of the employment agencies.

Illustrative Examples:

Babysitting bureaus (i.e., registries)
Employment registries
Model registries
Casting agencies or bureaus (i.e., motion picture, theatrical, video)
Employment agencies


Cross-References. Establishments primarily engaged in--"
"211","Norandal Usa, Inc.","Fat/Cat","331315",606,"Aluminum Sheet, Plate, and Foil Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) flat rolling or continuous casting sheet, plate, foil and welded tube from purchased aluminum and/or (2) recovering aluminum from scrap and flat rolling or continuous casting sheet, plate, foil, and welded tube in integrated mills.

Cross-References."
"212","Nucor Steel","Fat/Cat","327910",586,"Abrasive Product Manufacturing","This industry comprises establishments primarily engaged in manufacturing abrasive grinding wheels of natural or synthetic materials, abrasive-coated products, and other abrasive products.

Illustrative Examples:

Aluminum oxide (fused) abrasives manufacturing
Buffing and polishing wheels, abrasive and nonabrasive, manufacturing
Diamond dressing wheels manufacturing
Sandpaper manufacturing
Silicon carbide abrasives manufacturing
Whetstones manufacturing


Cross-References. Establishments primarily engaged in--"
"213","Fowler Foods Inc.","Fat/Cat","722513",1955,"Limited-Service Restaurants","This U.S. industry comprises establishments primarily engaged in providing food services (except snack and nonalcoholic beverage bars) where patrons generally order or select items and pay before eating.  Food and drink may be consumed on premises, taken out, or delivered to the customer's location.  Some establishments in this industry may provide these food services in combination with selling alcoholic beverages.

Illustrative Examples:

Delicatessen restaurants
Pizza delivery shops
Family restaurants, limited-service
Takeout eating places
Fast-food restaurants
Fast casual restaurants
Takeout sandwich shops
Limited-service pizza parlors


Cross-References. Establishments primarily engaged in--"
"214","Quick Transport Of Arkansas, Llc","Fat/Cat","484230",1241,"Specialized Freight (except Used Goods) Trucking, Long-Distance","This industry comprises establishments primarily engaged in providing long-distance specialized trucking.  These establishments provide trucking between metropolitan areas that may cross North American country borders.

Illustrative Examples:

Long-distance automobile carrier trucking
Long-distance refrigerated product trucking
Long-distance bulk liquid trucking
Long-distance trucking of waste
Long-distance hazardous material trucking


Cross-References. Establishments primarily engaged in--"
"215","The Traffic Group, Inc.","Fat/Cat","541990",1638,"All Other Professional, Scientific, and Technical Services","This industry comprises establishments primarily engaged in the provision of professional, scientific, or technical services (except legal services; accounting, tax preparation, bookkeeping, and related services; architectural, engineering, and related services; specialized design services; computer systems design and related services; management, scientific, and technical consulting services; scientific research and development services; advertising, public relations, and related services; market research and public opinion polling; photographic services; translation and interpretation services; and veterinary services).

Illustrative Examples:

Appraisal (except real estate) services
Marine surveyor (i.e., appraiser) services
Arbitration and conciliation services (except by lawyer, attorney, or paralegal offices)
Patent broker services (i.e., patent marketing services)
Commodity inspector services
Pipeline or power line inspection (i.e., visual) services
Consumer credit counseling services
Weather forecasting services
Handwriting analysis services 


Cross-References. Establishments primarily engaged in--"
